;Year_Birth;Education;Marital_Status;Income;Dt_Customer;Recency;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;AcceptedCmp2;Complain;Response;Expenditure;Household Size;year_birth_check;Is_Parent
0;The Baby Boomer Generation;Graduation;Single;58138.0;663;58;6.453624998892692;4.477336814478207;6.302618975744905;5.147494476813453;4.477336814478207;4.477336814478207;1.0986122886681098;2.0794415416798357;2.302585092994046;4;1.9459101490553132;no;no;no;no;no;no;yes;1617;1;749;yes
1;The Baby Boomer Generation;Graduation;Single;46344.0;113;38;2.3978952727983707;0.0;1.791759469228055;0.6931471805599453;0.0;1.791759469228055;0.6931471805599453;0.0;0.0;2;1.6094379124341003;no;no;no;no;no;no;no;27;3;749;no
2;Generation X;Graduation;Together;71613.0;312;26;6.054439346269371;3.8918202981106265;4.844187086458591;4.709530201312334;3.044522437723423;3.7376696182833684;0.0;2.0794415416798357;0.6931471805599453;10;1.3862943611198906;no;no;no;no;no;no;no;776;2;1060;yes
3;Millennials;Graduation;Together;26646.0;139;26;2.3978952727983707;1.3862943611198906;2.995732273553991;2.302585092994046;1.0986122886681098;1.6094379124341003;0.6931471805599453;0.6931471805599453;0.0;4;1.791759469228055;no;no;no;no;no;no;no;53;3;380;no
4;Millennials;PhD;Married;58293.0;161;94;5.153291594497779;3.7612001156935624;4.770684624465665;3.828641396489095;3.295836866004329;2.70805020110221;1.6094379124341003;1.6094379124341003;1.0986122886681098;6;1.6094379124341003;no;no;no;no;no;no;no;422;3;380;no
5;Generation X;Master;Together;62513.0;293;16;6.253828811575473;3.7376696182833684;4.584967478670572;0.0;3.7376696182833684;2.6390573296152584;0.6931471805599453;1.791759469228055;1.3862943611198906;10;1.791759469228055;no;no;no;no;no;no;no;716;3;1060;no
6;Generation X;Graduation;Divorced;55635.0;593;34;5.459585514144159;4.174387269895637;5.099866427824199;3.912023005428146;3.8918202981106265;3.295836866004329;1.3862943611198906;1.9459101490553132;1.0986122886681098;7;1.791759469228055;no;no;no;no;no;no;no;590;2;1060;no
7;Millennials;PhD;Married;33454.0;417;32;4.330733340286331;2.302585092994046;4.02535169073515;1.0986122886681098;0.0;3.1354942159291497;0.6931471805599453;1.3862943611198906;0.0;4;2.0794415416798357;no;no;no;no;no;no;no;169;3;380;no
8;Generation X;PhD;Together;30351.0;388;19;2.6390573296152584;0.0;3.1780538303479458;1.0986122886681098;1.0986122886681098;0.6931471805599453;0.0;1.0986122886681098;0.0;2;2.1972245773362196;no;no;no;no;no;no;yes;46;3;1060;no
9;The Baby Boomer Generation;PhD;Together;5648.0;108;68;3.332204510175204;0.0;1.791759469228055;0.0;0.0;2.5649493574615367;0.0;0.0;0.0;0;2.995732273553991;yes;no;no;no;no;no;no;49;4;749;no
11;Generation X;Basic;Married;7500.0;593;59;1.791759469228055;2.772588722239781;2.3978952727983707;2.3978952727983707;0.0;2.772588722239781;0.0;0.6931471805599453;0.0;3;2.0794415416798357;no;no;no;no;no;no;no;61;2;1060;yes
12;The Baby Boomer Generation;Graduation;Divorced;63033.0;226;82;5.267858159063328;4.110873864173311;6.173786103901937;5.41610040220442;4.718498871295094;3.4011973816621555;0.0;1.0986122886681098;1.3862943611198906;8;0.6931471805599453;no;no;no;no;no;no;no;1102;1;749;yes
13;The Baby Boomer Generation;Master;Divorced;59354.0;226;53;5.4510384535657;0.6931471805599453;3.970291913552122;1.0986122886681098;1.6094379124341003;2.6390573296152584;1.0986122886681098;1.791759469228055;0.0;5;1.791759469228055;no;no;no;no;no;no;no;310;3;749;no
14;Millennials;Graduation;Married;17323.0;627;38;1.0986122886681098;2.6390573296152584;2.833213344056216;1.791759469228055;0.0;1.6094379124341003;0.0;0.0;0.0;3;2.0794415416798357;no;no;no;no;no;no;no;46;2;380;yes
